School,W,L,Pct
Air Force,5,7,0.417
Akron,4,8,0.333
Alabama,14,1,0.933
Alabama at Birmingham,11,3,0.786
Appalachian State,11,2,0.846
Arizona,5,7,0.417
Arizona State,7,6,0.538
Arkansas,2,10,0.167
Arkansas State,8,5,0.615
Army,11,2,0.846
Auburn,8,5,0.615
Ball State,4,8,0.333
Baylor,7,6,0.538
Boise State,10,3,0.769
Boston College,7,5,0.583
Bowling Green,3,9,0.25
Brigham Young,10,4,0.714
Buffalo,7,6,0.538
California,7,6,0.538
Central Florida,12,1,0.923
Central Michigan,1,11,0.083
Charlotte,5,7,0.417
Cincinnati,11,2,0.846
Clemson,15,0,1
Coastal Carolina,5,7,0.417
Colorado,5,7,0.417
Colorado State,3,9,0.25
Connecticut,1,11,0.083
Duke,8,5,0.615
East Carolina,3,9,0.25
Eastern Michigan,7,6,0.538
Florida International,9,4,0.692
Florida,10,3,0.769
Florida Atlantic,5,7,0.417
Florida State,5,7,0.417
Fresno State,12,2,0.857
Georgia,11,3,0.786
Georgia Southern,10,3,0.769
Georgia State,2,10,0.167
Georgia Tech,7,6,0.538
Hawaii,8,6,0.571
Houston,8,5,0.615
Illinois,4,8,0.333
Indiana,5,7,0.417
Iowa,9,4,0.692
Iowa State,8,5,0.615
Kansas,3,9,0.25
Kansas State,5,7,0.417
Kent State,2,10,0.167
Kentucky,10,3,0.769
Liberty,6,6,0.5
Louisiana-Monroe,8,5,0.615
Louisiana Tech,7,7,0.5
Louisiana-Lafayette,6,6,0.5
Louisville,2,10,0.167
LSU,10,3,0.769
Marshall,9,4,0.692
Maryland,5,7,0.417
Massachusetts,4,8,0.333
Memphis,8,6,0.571
Miami (Fla.),7,6,0.538
Miami (Ohio),6,6,0.5
Michigan,10,3,0.769
Michigan State,7,6,0.538
Middle Tennessee,8,6,0.571
Minnesota,7,6,0.538
Mississippi,5,7,0.417
Mississippi State,8,5,0.615
Missouri,8,5,0.615
Navy,3,10,0.231
Nebraska,3,8,0.273
Nevada,8,5,0.615
Nevada-Las Vegas,4,8,0.333
New Mexico,3,9,0.25
New Mexico State,3,9,0.25
North Carolina,2,9,0.182
North Carolina State,9,4,0.692
North Texas,9,4,0.692
Northern Illinois,8,6,0.571
Northwestern,9,5,0.643
Notre Dame,12,1,0.923
Ohio,9,4,0.692
Ohio State,13,1,0.929
Oklahoma,12,2,0.857
Oklahoma State,7,6,0.538
Old Dominion,4,8,0.333
Oregon,9,4,0.692
Oregon State,2,10,0.167
Penn State,9,4,0.692
Pittsburgh,7,7,0.5
Purdue,6,7,0.462
Rice,2,11,0.154
Rutgers,1,11,0.083
San Diego State,7,6,0.538
San Jose State,1,11,0.083
South Alabama,3,9,0.25
South Carolina,7,6,0.538
South Florida,7,6,0.538
Southern California,5,7,0.417
Southern Methodist,5,7,0.417
Southern Mississippi,6,5,0.545
Stanford,9,4,0.692
Syracuse,10,3,0.769
Temple,8,5,0.615
Tennessee,5,7,0.417
Texas,10,4,0.714
Texas A&M,9,4,0.692
Texas Christian,7,6,0.538
Texas State,3,9,0.25
Texas Tech,5,7,0.417
Texas-El Paso,1,11,0.083
Texas-San Antonio,3,9,0.25
Toledo,7,6,0.538
Troy,10,3,0.769
Tulane,7,6,0.538
Tulsa,3,9,0.25
UCLA,3,9,0.25
Utah,9,5,0.643
Utah State,11,2,0.846
Vanderbilt,6,7,0.462
Virginia,8,5,0.615
Virginia Tech,6,7,0.462
Wake Forest,7,6,0.538
Washington,10,4,0.714
Washington State,11,2,0.846
West Virginia,8,4,0.667
Western Kentucky,3,9,0.25
Western Michigan,7,6,0.538
Wisconsin,8,5,0.615
Wyoming,6,6,0.5